name,street,phone,x_studio_sales_rep,comment
Rohit automobiles,"Near badi patan devi mandir,Ashok rajpath",+91 97989 58958,Manas,"Uses OEM & OEsCastrol , Motul both uses 50-50%20-40 ltrs maxOn OEM he Gets 10% on hero6 %on honda Gets suprajit on 10%"
Rohul motorcycle 2,Near Bari patandevi mandir,+91 91101 03815,Manas,
SHAHBAZ WORKSHOP,"Opposite City library ,Nayisarak ,",+91 97988 98130,Manas,Usses OEM mostly and repairs scooty Break shoe splendor wala lgta h bara wala
SK Repairing work,"Sachiwalay colony, kankarbagh",+91 99346 48392,Manas,
SK automobile,"Malahi pakri,kankarbagh patna -20",+91 93043 77388,Manas,
Sahzad service centre,"Sanichra mandir ,shankar colony ,gay ghat road",+91 88045 13615,Manas,"Mostly Valvoline direct from distributor on credit Break shoe duplicate Oes me all RMP And he also assured ki Steelbird ya jo v oes jo jyada bik rha hai uska duplicate v sb supplier deta hai original packing pe aur dukan Wale ko pta hota h , quality me 19-20 k frk hota hai"
Sanjay motorcycle,False,False,Manas,
Sanjay motorcycle service centre,"P c colony ,Kankarbagh Colony ,E-95",+91 72569 57835,Manas,"2 min pe retailer haiUses mostly OEM and if uses OES then buys from same retailer Hero -10%Approx all same on OELub- savsol - 900 ml rate not specified,Hp 1 ltr -₹320Intrested in buying Castrol from us but very less usage He gets on 370-900 ml"
Sanjeev Automobiles,"Near Ashtha Hospital,Kankarbagh -20",+91 74880 97033,Manas,
Shahid bike care,"Below masjid ,Near Alamganj thana ,Gay ghat road",+91 83402 09711,Manas,"Uses,Lubricant - motul 3100 gold buys at 470 , Castrol,savsol*Uses mostly OEM,owner was very busy so said to revisit after eleven"
Shakim bike  service centre,"Bengali tola ,Postal park ,Near jakkanpur Thana",+91 74799 86353,Manas,"Uses Castrol ,motul ,hp ,bajaj ,veedol as demanded by customer Parts p OEM pe Bajaj almost 15% Hero -13%Honda 5-8 %Uses suprajit on 32%"
Sk bike shop,"Opposite Patna city motors,Belbarganj patna city",+91 82524 44426,Manas,"Motul ,Castrol veedol ,Amaron,Valvoline -100+ltrs but uses duplicate of everything too Giving order of Activa parts that we don't have in stock"
Sonu auto workshops,"Kath k pul,Near mughalpura chowki",+91 83407 34663,Manas,Golu ji - 9263142983Uses Castrol and motul and askOwner ki bike chori hogyi h to preshan th jo baat nhi kiye
Sonu automobiles,"Near Raja utsav hall,Sanjay nagar , Ram Lakhan oath",+91 70705 21280,Manas,"40 ltr max with motul and Castrol On OEM Hero -12% Bajaj- 16%Honda 5-8%On oes Break shoe - ask,cp- steel bird , bearing - NBC , Same rate as other All oes brand give same discount to everyone only bulk buyers get more discount"
Sonu motorcycle servicing centre,"East Ram Krishna nagar ,Patna",+91 98012 48397,Manas,"Rates nhi btae bas rate puch liya owner ne aur kha mujhe to fayda hi hai lane v nhi jana phucha kr free me milega to ,,z30-40 ltr monthly using lubricant brands including motul ,savsol ,hp Parts - prefers OEM mostly but if not available then he chooses oes ."
Sonu service centre,"Beside Sanidev Mandir ,Sandalpur ,Kumhrar road ,",+91 90972 30179,Manas,Silco & bountex currently buying on 25 and 30. Percent Other brands parts only in stock Cluch plate - FCC - buy hu140-350 sellHe buys cables on 70% bonetex Champion 50-55 buying 80-90 selling spark plug same quality of bonetex 25 buying
Sumi City Hero bike service centre,"Near Gauri Shankar mandir ,Gay ghat",+91 93083 83371,Manas,20-40 ltr but very cheap quality lubricant Chain kit - rolon Chain spoket -500 aprrox of rolon buying rate- Clutch plate - usha / Bosch Cables - orginal / fake packed On OEM he gets Hero - 12Honda -5-7Bajaj- 12-15Retailer is 10 mins from him
Suraj automobile,"Near vaishnavi hospital ,more vihar colony ,Transport nagar",+91 99059 09599,Manas,
Vaishnavi Bike service centre,"In front road of shivaji park gate, Pc colony",+91 95042 70828,Manas,"Uses Valvoline 30-40 ltr,savsol 30-40 ltrBusy Castrol and motul on customer demand but that also from the same retailer Buys from retailer next to him 5 meter awayMostly OEM on market rate like 10 % on hero5-7 % on honda ,Bajaj -10-12% Usess suprajit 25-30% Intrested in mn cables but they want one for use and review"
Vikash servicing centre,"Near Bharat gas agency ,Bariya",+91 76672 24394,Manas,Akash & vikash ji Motul 30-40 ltr and localMotul same rate pe buy kr rha hai 1 ltr 3000 20w40Shop visit 1 hi baar din bhar me Budget Genuine and local parts both mostly local
Vishwakarma motors,"Near st Joseph school,bhoothnath road,Patna -26",+91 95073 86891,Manas,"lubriacnts used -CASTROL ,VEEDOL,MOTULSPARE PARTS WORKS AFTER TWO MONTHS 2-3k spare parts ordered per day 5to 8 visits per day80-100litres movil used."
Wasim service centre,"near sbi  bank, Opposite to jan aushadhi kendra ,Kumhrar gumti ,",False,Manas,Uses Valvoline - 60-70 ltr on season means avg 30-40 ltr They mostly don’t buy spare parts; they tell customers to purchase them instead.But intrested in buying from us Directly said don't upload pic of shop
